timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1768839258336,160,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-13,text,true,,316733,123,20,21,https://vnexpress.net/the-thao,116,0,0
1768839258370,134,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-3,text,true,,276614,125,20,21,https://vnexpress.net/kinh-doanh,103,0,0
1768839258340,165,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-10,text,true,,316329,123,20,21,https://vnexpress.net/the-thao,106,0,0
1768839258389,138,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-19,text,true,,276911,125,20,21,https://vnexpress.net/kinh-doanh,99,0,0
1768839258407,138,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-4,text,true,,316732,123,20,21,https://vnexpress.net/the-thao,105,0,0
1768839258413,139,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-6,text,true,,316801,123,20,21,https://vnexpress.net/the-thao,100,0,0
1768839258419,139,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-15,text,true,,276660,125,20,21,https://vnexpress.net/kinh-doanh,99,0,0
1768839258397,166,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-7,text,true,,276568,125,20,21,https://vnexpress.net/kinh-doanh,107,0,0
1768839258202,371,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-5,text,true,,316689,123,20,21,https://vnexpress.net/the-thao,339,0,0
1768839258193,382,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-20,text,true,,276655,125,20,21,https://vnexpress.net/kinh-doanh,311,0,0
1768839258357,218,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-14,text,true,,316367,123,20,21,https://vnexpress.net/the-thao,150,0,0
1768839258430,199,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-9,text,true,,276575,125,20,22,https://vnexpress.net/kinh-doanh,102,0,0
1768839258481,149,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-8,text,true,,316740,123,20,22,https://vnexpress.net/the-thao,99,0,0
1768839258493,140,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-18,text,true,,276888,125,20,22,https://vnexpress.net/kinh-doanh,94,0,0
1768839258479,158,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-16,text,true,,316329,123,20,22,https://vnexpress.net/the-thao,108,0,0
1768839258496,143,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-13,text,true,,276887,125,20,22,https://vnexpress.net/kinh-doanh,94,0,0
1768839258488,153,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-1,text,true,,276593,125,20,22,https://vnexpress.net/kinh-doanh,102,0,0
1768839258202,440,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-11,text,true,,276546,125,20,22,https://vnexpress.net/kinh-doanh,406,0,0
1768839258436,206,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-17,text,true,,276585,125,20,22,https://vnexpress.net/kinh-doanh,161,0,0
1768839258504,145,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-3,text,true,,316421,123,20,22,https://vnexpress.net/the-thao,117,0,0
1768839258505,159,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-10,text,true,,276568,125,20,22,https://vnexpress.net/kinh-doanh,119,0,0
1768839258330,344,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-12,text,true,,276888,125,20,22,https://vnexpress.net/kinh-doanh,312,0,0
1768839258545,130,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-4,text,true,,276904,125,20,22,https://vnexpress.net/kinh-doanh,100,0,0
1768839258573,124,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-5,text,true,,276896,125,20,22,https://vnexpress.net/kinh-doanh,89,0,0
1768839258558,139,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-15,text,true,,316445,123,20,22,https://vnexpress.net/the-thao,104,0,0
1768839258014,683,GET Homepage,200,OK,Thread Group 2 - Heavy Load 2-24,text,true,,342069,115,2,22,https://vnexpress.net/,439,0,253
1768839258575,136,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-20,text,true,,316376,123,20,22,https://vnexpress.net/the-thao,104,0,0
1768839258563,161,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-7,text,true,,316352,123,20,22,https://vnexpress.net/the-thao,99,0,0
1768839258552,176,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-6,text,true,,276982,125,20,22,https://vnexpress.net/kinh-doanh,146,0,0
1768839258575,160,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-14,text,true,,276629,125,20,22,https://vnexpress.net/kinh-doanh,126,0,0
1768839258630,131,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-8,text,true,,276878,125,20,22,https://vnexpress.net/kinh-doanh,94,0,0
1768839258471,293,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-2,text,true,,316695,123,20,22,https://vnexpress.net/the-thao,257,0,0
1768839258642,146,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-17,text,true,,316346,123,20,22,https://vnexpress.net/the-thao,110,0,0
1768839258650,144,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-3,text,true,,276568,125,20,22,https://vnexpress.net/kinh-doanh,111,0,0
1768839258641,164,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-1,text,true,,316485,123,20,22,https://vnexpress.net/the-thao,114,0,0
1768839258674,137,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-12,text,true,,316763,123,20,22,https://vnexpress.net/the-thao,92,0,0
1768839258675,147,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-4,text,true,,316741,123,20,22,https://vnexpress.net/the-thao,98,0,0
